expected step
explore, step:  41217, spool: 2.83, diameter: 48.10, speed: 89.76, motorV: 92.28, extfrq: 78.10, target: 50.30, greedy_m: 93.22, greedy_e: 78.81, reward: 0.819, Q_exam: 61.338, am_exam: 34.108, a_exam: 59.554,  4, temp: 79.830
explore, step:  41218, spool: 2.87, diameter: 52.00, speed: 89.44, motorV: 93.63, extfrq: 78.70, target: 50.30, greedy_m: 94.92, greedy_e: 79.51, reward: 0.869, Q_exam: 64.257, am_exam: 76.588, a_exam: 42.774,  5, temp: 79.727
explore, step:  41219, spool: 2.91, diameter: 48.60, speed: 89.76, motorV: 93.97, extfrq: 78.78, target: 50.30, greedy_m: 95.29, greedy_e: 79.68, reward: 0.869, Q_exam: 64.070, am_exam: 80.568, a_exam: 55.343,  7, temp: 79.899
explore, step:  41220, spool: 2.94, diameter: 49.70, speed: 90.80, motorV: 93.80, extfrq: 79.04, target: 50.30, greedy_m: 95.50, greedy_e: 79.86, reward: 0.979, Q_exam: 38.085, am_exam: 36.228, a_exam: 63.559,  9, temp: 79.796
explore, step:  41221, spool: 2.98, diameter: 50.30, speed: 91.28, motorV: 93.68, extfrq: 79.05, target: 50.30, greedy_m: 95.24, greedy_e: 79.88, reward: 1.040, Q_exam: 63.139, am_exam: 21.348, a_exam: 72.044,  1, temp: 79.761
explore, step:  41222, spool: 3.02, diameter: 49.90, speed: 91.76, motorV: 93.31, extfrq: 78.68, target: 50.30, greedy_m: 94.44, greedy_e: 79.70, reward: 1.000, Q_exam: 62.411, am_exam: 70.149, a_exam: 32.090,  2, temp: 79.761
explore, step:  41223, spool: 3.06, diameter: 50.30, speed: 91.84, motorV: 92.57, extfrq: 78.90, target: 50.30, greedy_m: 93.72, greedy_e: 79.81, reward: 1.039, Q_exam: 60.661, am_exam: 37.824, a_exam: 59.037,  4, temp: 79.761
explore, step:  41224, spool: 3.10, diameter: 49.60, speed: 91.36, motorV: 91.84, extfrq: 78.70, target: 50.30, greedy_m: 92.95, greedy_e: 80.11, reward: 0.969, Q_exam: 63.324, am_exam: 78.967, a_exam: 41.091,  5, temp: 79.830
explore, step:  41225, spool: 3.13, diameter: 48.10, speed: 91.20, motorV: 91.32, extfrq: 79.33, target: 50.30, greedy_m: 92.22, greedy_e: 80.68, reward: 0.819, Q_exam: 63.921, am_exam: 81.454, a_exam: 55.963,  7, temp: 79.796
explore, step:  41226, spool: 3.17, diameter: 49.30, speed: 90.80, motorV: 90.25, extfrq: 79.79, target: 50.30, greedy_m: 91.09, greedy_e: 81.21, reward: 0.940, Q_exam: 38.834, am_exam: 34.900, a_exam: 64.000,  9, temp: 79.692
explore, step:  41227, spool: 3.21, diameter: 47.80, speed: 90.00, motorV: 88.68, extfrq: 80.07, target: 50.30, greedy_m: 89.86, greedy_e: 81.59, reward: 0.790, Q_exam: 63.447, am_exam: 19.720, a_exam: 71.683,  1, temp: 79.864
explore, step:  41228, spool: 3.25, diameter: 48.90, speed: 89.60, motorV: 87.88, extfrq: 81.05, target: 50.30, greedy_m: 89.29, greedy_e: 82.30, reward: 0.900, Q_exam: 61.875, am_exam: 68.893, a_exam: 33.981,  2, temp: 79.899
explore, step:  41229, spool: 3.29, diameter: 49.90, speed: 88.64, motorV: 88.01, extfrq: 81.96, target: 50.30, greedy_m: 89.12, greedy_e: 83.15, reward: 1.001, Q_exam: 60.921, am_exam: 34.277, a_exam: 59.036,  4, temp: 79.796
explore, step:  41230, spool: 3.33, diameter: 50.50, speed: 87.20, motorV: 88.41, extfrq: 83.10, target: 50.30, greedy_m: 89.48, greedy_e: 83.89, reward: 1.021, Q_exam: 63.595, am_exam: 76.615, a_exam: 43.020,  6, temp: 79.727
explore, step:  41231, spool: 3.37, diameter: 53.50, speed: 86.72, motorV: 88.41, extfrq: 83.43, target: 50.30, greedy_m: 89.40, greedy_e: 84.18, reward: 0.722, Q_exam: 64.576, am_exam: 79.969, a_exam: 55.743,  7, temp: 79.864
explore, step:  41232, spool: 3.41, diameter: 53.10, speed: 86.88, motorV: 87.98, extfrq: 83.29, target: 50.30, greedy_m: 89.07, greedy_e: 84.14, reward: 0.762, Q_exam: 37.107, am_exam: 35.201, a_exam: 63.563,  9, temp: 79.658
explore, step:  41233, spool: 3.45, diameter: 50.00, speed: 86.96, motorV: 87.29, extfrq: 83.28, target: 50.30, greedy_m: 88.25, greedy_e: 83.98, reward: 1.012, Q_exam: 63.019, am_exam: 19.296, a_exam: 70.858,  1, temp: 79.761
explore, step:  41234, spool: 3.49, diameter: 46.90, speed: 86.96, motorV: 86.58, extfrq: 83.32, target: 50.30, greedy_m: 87.57, greedy_e: 83.90, reward: 0.702, Q_exam: 62.073, am_exam: 68.754, a_exam: 33.230,  2, temp: 79.727
explore, step:  41235, spool: 3.53, diameter: 41.70, speed: 86.56, motorV: 85.97, extfrq: 82.90, target: 50.30, greedy_m: 86.77, greedy_e: 83.72, reward: 0.182, Q_exam: 60.763, am_exam: 35.817, a_exam: 58.210,  4, temp: 79.727
explore, step:  41236, spool: 3.57, diameter: 45.00, speed: 85.84, motorV: 85.44, extfrq: 82.86, target: 50.30, greedy_m: 86.31, greedy_e: 83.54, reward: 0.511, Q_exam: 63.409, am_exam: 76.211, a_exam: 41.484,  5, temp: 79.692
explore, step:  41237, spool: 3.61, diameter: 43.70, speed: 85.28, motorV: 85.34, extfrq: 83.06, target: 50.30, greedy_m: 86.18, greedy_e: 83.64, reward: 0.381, Q_exam: 63.597, am_exam: 80.205, a_exam: 55.206,  7, temp: 79.727
explore, step:  41238, spool: 3.65, diameter: 47.40, speed: 84.88, motorV: 85.55, extfrq: 83.19, target: 50.30, greedy_m: 86.24, greedy_e: 83.91, reward: 0.752, Q_exam: 35.908, am_exam: 35.756, a_exam: 63.395,  9, temp: 79.589
explore, step:  41239, spool: 3.68, diameter: 48.60, speed: 84.32, motorV: 85.21, extfrq: 83.17, target: 50.30, greedy_m: 85.97, greedy_e: 83.92, reward: 0.872, Q_exam: 63.435, am_exam: 19.929, a_exam: 70.892,  0, temp: 79.727
