expected step
exploit, step:     68, spool: 2.37, diameter: 49.80, speed: 100.56, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.47, greedy_e: -0.51, reward: 0.546, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.864
exploit, step:     69, spool: 2.41, diameter: 47.70, speed: 100.40, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.46, greedy_e: -0.50, reward: 0.756, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.933
exploit, step:     70, spool: 2.44, diameter: 45.80, speed: 100.48, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.46, greedy_e: -0.49, reward: 0.946, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.968
exploit, step:     71, spool: 2.48, diameter: 44.80, speed: 100.48, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.45, greedy_e: -0.49, reward: 1.026, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.864
exploit, step:     72, spool: 2.51, diameter: 45.10, speed: 100.32, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.45, greedy_e: -0.48, reward: 1.016, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.864
exploit, step:     73, spool: 2.55, diameter: 46.60, speed: 100.48, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.44, greedy_e: -0.47, reward: 0.866, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.864
exploit, step:     74, spool: 2.58, diameter: 47.50, speed: 100.40, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.44, greedy_e: -0.47, reward: 0.776, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:     75, spool: 2.62, diameter: 46.40, speed: 100.32, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.44, greedy_e: -0.46, reward: 0.886, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:     76, spool: 2.65, diameter: 45.40, speed: 100.56, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.43, greedy_e: -0.46, reward: 0.986, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.864
exploit, step:     77, spool: 2.69, diameter: 44.00, speed: 100.48, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.43, greedy_e: -0.45, reward: 0.946, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:     78, spool: 2.72, diameter: 43.40, speed: 100.72, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.43, greedy_e: -0.45, reward: 0.886, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.933
exploit, step:     79, spool: 2.76, diameter: 42.10, speed: 100.64, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.43, greedy_e: -0.46, reward: 0.756, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.864
exploit, step:     80, spool: 2.80, diameter: 41.50, speed: 100.48, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.43, greedy_e: -0.46, reward: 0.696, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:     81, spool: 2.83, diameter: 43.00, speed: 100.72, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.43, greedy_e: -0.47, reward: 0.846, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.864
exploit, step:     82, spool: 2.87, diameter: 44.60, speed: 100.64, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.43, greedy_e: -0.47, reward: 1.006, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:     83, spool: 2.90, diameter: 46.50, speed: 100.72, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.43, greedy_e: -0.48, reward: 0.876, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.968
exploit, step:     84, spool: 2.94, diameter: 44.50, speed: 100.72, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.44, greedy_e: -0.48, reward: 0.996, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.968
